rank,index,tier,score,hair_style,hair,eyes,suit,shirt,skin,image,seed
530,919,Common,91.5734,Fringe / Bangs,Sky Blue,Amethyst,Maroon,Mint,Brown,0919.png,27538486
531,114,Common,91.5686,Side Part,Charcoal,X Blue,Brown,Sky,Tan,0114.png,21163691
532,748,Common,91.5625,Buzz Cut,Teal,X Black,Bronze,Mint,Olive,0748.png,26184337
533,439,Common,91.5369,Buzz Cut,Orange,Aqua,Deep Purple,Blush,Medium,0439.png,23737366
534,826,Common,91.495,Fringe / Bangs,Pine Green,Gold,Plum,Cream,Fair,0826.png,26802019
535,897,Common,91.4593,Buzz Cut,Yellow,Aqua,Plum,Ice Blue,Fair,0897.png,27364268
536,942,Common,91.454,Spiky,Chestnut,Raspberry,Maroon,Mint,Tan,0942.png,27720623
537,740,Common,91.4518,Classic Cut,Orange,Periwinkle,Slate Grey,Sage,Fair,0740.png,26120985
538,1016,Common,91.4513,Fringe / Bangs,Sandy,Tangerine,Teal,Ivory,Tan,1016.png,28306629
539,448,Common,91.4228,Fringe / Bangs,Pale Blond,Cyan,Cocoa,Rose,Light,0448.png,23808637
540,1082,Common,91.4056,Fringe / Bangs,Magenta,Aqua,Cocoa,Pale Blue,Light,1082.png,28829283
541,1072,Common,91.405,Fringe / Bangs,Chestnut,Bubblegum,Forest Green,Off White,Brown,1072.png,28750093
542,135,Common,91.3905,Long,Purple,Emerald,Moss,Off White,Fair,0135.png,21329990
543,144,Common,91.3716,Spiky,Pink,Tangerine,Bronze,White,Brown,0144.png,21401261
544,1091,Common,91.3632,Buzz Cut,Sky Blue,Bubblegum,Steel Grey,Ice Blue,Olive,1091.png,28900554
545,1086,Common,91.3554,Long,Charcoal,Gold,Brown,Off White,Medium,1086.png,28860959
546,653,Common,91.3439,Buzz Cut,Green,Gold,Forest Green,Butter,Deep Brown,0653.png,25432032
547,647,Common,91.3342,Buzz Cut,Auburn,Emerald,Maroon,Lavender,Light,0647.png,25384518
548,938,Common,91.3137,Buzz Cut,White,Turquoise,Deep Purple,Off White,Fair,0938.png,27688947
549,238,Common,91.3134,Buzz Cut,Yellow,Aqua,Navy,Cream,Light,0238.png,22145647
550,774,Common,91.3105,Fringe / Bangs,Blond,Emerald,Brown,Blush,Fair,0774.png,26390231
551,1017,Common,91.2959,Fringe / Bangs,Silver,Lime,Denim Blue,White,Deep Brown,1017.png,28314548
552,962,Common,91.2904,Side Part,Coral,X Black,Moss,Off White,Olive,0962.png,27879003
553,613,Common,91.2813,Classic Cut,Orange,Ice Blue,Forest Green,Sky,Light,0613.png,25115272
554,866,Common,91.2775,Buzz Cut,Sandy,Aqua,Espresso,Sand,Fair,0866.png,27118779
555,934,Common,91.2762,Buzz Cut,Purple,Turquoise,Gold,Sage,Fair,0934.png,27657271
556,519,Common,91.2729,Side Part,Blond,Aqua,Denim Blue,Rose,Light,0519.png,24370886
557,675,Common,91.2523,Side Part,Orange,Amethyst,Black,Lavender,Brown,0675.png,25606250
558,67,Common,91.248,Classic Cut,Magenta,Periwinkle,Steel Grey,Rose,Fair,0067.png,20791498
559,920,Common,91.2295,Classic Cut,Purple,Hot Pink,Moss,Rose,Fair,0920.png,27546405
560,421,Common,91.2294,Buzz Cut,White,Emerald,Plum,Off White,Tan,0421.png,23594824
561,417,Common,91.2176,Buzz Cut,Yellow,Pure White,Deep Purple,Ivory,Fair,0417.png,23563148
562,563,Common,91.2131,Spiky,Brown,Periwinkle,Cocoa,Mint,Tan,0563.png,24719322
563,796,Common,91.2075,Fringe / Bangs,Chestnut,Amethyst,Deep Purple,Cream,Medium,0796.png,26564449
564,512,Common,91.163,Side Part,Jet Black,Lime,Espresso,Rose,Deep Brown,0512.png,24315453
565,882,Common,91.1541,Long,Green,Cyan,Steel Grey,Sand,Deep Brown,0882.png,27245483
566,106,Common,91.1478,Buzz Cut,Charcoal,Cyan,Slate Grey,Blush,Deep Brown,0106.png,21100339
567,686,Common,91.0934,Side Part,Green,X Black,Navy,Ivory,Brown,0686.png,25693359
568,429,Common,91.0739,Long,Chestnut,Raspberry,Forest Green,Cream,Brown,0429.png,23658176
569,603,Common,90.9983,Long,Teal,Aqua,Brown,White,Tan,0603.png,25036082
570,953,Common,90.9797,Side Part,Chestnut,Royal Blue,Midnight Navy,Rose,Fair,0953.png,27807732
571,813,Common,90.9623,Side Part,Dark Brown,Lime,Forest Green,Ice Blue,Tan,0813.png,26699072
572,75,Common,90.9595,Classic Cut,Sandy,Pure White,Black,Ice Blue,Medium,0075.png,20854850
573,324,Common,90.9386,Fringe / Bangs,Charcoal,Amethyst,Light Grey,Off White,Deep Brown,0324.png,22826681
574,195,Common,90.9199,Spiky,Magenta,Ice Blue,Plum,Blush,Brown,0195.png,21805130
575,134,Common,90.9066,Side Part,Sandy,Turquoise,Steel Grey,Peach,Medium,0134.png,21322071
576,699,Common,90.8984,Spiky,Charcoal,X Blue,Moss,Off White,Porcelain,0699.png,25796306
577,153,Common,90.8936,Spiky,Sandy,X Black,Denim Blue,Mint,Fair,0153.png,21472532
578,583,Common,90.8922,Side Part,Blond,Turquoise,Denim Blue,Sand,Light,0583.png,24877702
579,747,Common,90.8906,Spiky,Teal,Raspberry,Gold,Butter,Medium,0747.png,26176418
580,929,Common,90.8669,Buzz Cut,Yellow,Emerald,Deep Purple,Cream,Deep Brown,0929.png,27617676
581,853,Common,90.8274,Long,Coral,Bubblegum,Brown,Blush,Tan,0853.png,27015832
582,1089,Common,90.8268,Fringe / Bangs,Chestnut,Bubblegum,Gold,White,Porcelain,1089.png,28884716
583,1077,Common,90.8156,Long,Chestnut,Emerald,Midnight Navy,Off White,Brown,1077.png,28789688
584,143,Common,90.8068,Side Part,Sandy,Tangerine,Black,Sky,Porcelain,0143.png,21393342
585,666,Common,90.7923,Buzz Cut,Brown,Raspberry,Cocoa,Ivory,Brown,0666.png,25534979
586,880,Common,90.7614,Fringe / Bangs,White,Amethyst,Light Grey,Ivory,Olive,0880.png,27229645
587,214,Common,90.7565,Side Part,Orange,X Blue,Moss,White,Porcelain,0214.png,21955591
588,86,Common,90.7262,Long,Red,Bubblegum,Deep Purple,White,Fair,0086.png,20941959
589,528,Common,90.7049,Fringe / Bangs,Green,Amethyst,Espresso,Sky,Light,0528.png,24442157
590,891,Common,90.7006,Classic Cut,Pine Green,Royal Blue,Brown,Peach,Olive,0891.png,27316754
591,646,Common,90.6662,Buzz Cut,Dark Brown,Royal Blue,Black,Sage,Brown,0646.png,25376599
592,896,Common,90.6653,Classic Cut,Chestnut,Bubblegum,Denim Blue,Ice Blue,Porcelain,0896.png,27356349
593,262,Common,90.6612,Spiky,Auburn,Tangerine,Deep Purple,Ivory,Porcelain,0262.png,22335703
594,327,Common,90.6519,Spiky,Sky Blue,Aqua,Maroon,Sage,Porcelain,0327.png,22850438
595,218,Common,90.6267,Fringe / Bangs,Green,Aqua,Navy,Sage,Fair,0218.png,21987267
596,391,Common,90.6263,Spiky,Brown,Lime,Bronze,Lavender,Medium,0391.png,23357254
597,508,Common,90.6171,Classic Cut,Magenta,Raspberry,Forest Green,Sage,Porcelain,0508.png,24283777
598,33,Common,90.6133,Buzz Cut,White,Emerald,Bronze,Mint,Light,0033.png,20522252
599,769,Common,90.6048,Buzz Cut,Purple,Raspberry,Black,Sand,Porcelain,0769.png,26350636
600,1068,Common,90.5905,Buzz Cut,Magenta,Gold,Steel Grey,Off White,Deep Brown,1068.png,28718417
601,558,Common,90.5878,Buzz Cut,Teal,Amethyst,Steel Grey,White,Olive,0558.png,24679727
602,931,Common,90.5822,Fringe / Bangs,Teal,Hot Pink,Brown,Lavender,Brown,0931.png,27633514
603,795,Common,90.5717,Spiky,Blond,Royal Blue,Teal,Ice Blue,Fair,0795.png,26556530
604,112,Common,90.5631,Side Part,Jet Black,Lime,Espresso,Lavender,Light,0112.png,21147853
605,271,Common,90.5409,Long,Coral,X Blue,Gold,Peach,Deep Brown,0271.png,22406974
606,163,Common,90.5131,Fringe / Bangs,Violet,Turquoise,Midnight Navy,Sky,Medium,0163.png,21551722
607,141,Common,90.4895,Spiky,Sandy,Periwinkle,Midnight Navy,Mint,Brown,0141.png,21377504
608,700,Common,90.4379,Buzz Cut,Dark Brown,Hot Pink,Bronze,Ivory,Deep Brown,0700.png,25804225
609,404,Common,90.4278,Long,Yellow,Pure White,Denim Blue,Sage,Light,0404.png,23460201
610,383,Common,90.4253,Long,White,X Blue,Light Grey,Lavender,Light,0383.png,23293902
611,537,Common,90.4235,Buzz Cut,Orange,Raspberry,Steel Grey,Ivory,Olive,0537.png,24513428
612,167,Common,90.4,Long,Orange,Royal Blue,Gold,Mint,Porcelain,0167.png,21583398
613,1006,Common,90.391,Fringe / Bangs,Auburn,X Blue,Gold,Pale Blue,Medium,1006.png,28227439
614,851,Common,90.3755,Buzz Cut,Red,Amethyst,Espresso,Ice Blue,Medium,0851.png,26999994
615,890,Common,90.3509,Classic Cut,Magenta,Cyan,Gold,Mint,Light,0890.png,27308835
616,1101,Common,90.3221,Classic Cut,White,Amethyst,Bronze,Butter,Tan,1101.png,28979744
617,616,Common,90.2981,Spiky,Chestnut,Raspberry,Midnight Navy,Sky,Tan,0616.png,25139029
618,1059,Common,90.2385,Spiky,Pink,Raspberry,Denim Blue,Cream,Medium,1059.png,28647146
619,778,Common,90.2373,Fringe / Bangs,Charcoal,Gold,Navy,Mint,Deep Brown,0778.png,26421907
620,1110,Common,90.2236,Classic Cut,Auburn,Royal Blue,Maroon,Sand,Porcelain,1110.png,29051015
621,1061,Common,90.2217,Fringe / Bangs,Chestnut,Gold,Moss,Peach,Deep Brown,1061.png,28662984
622,694,Common,90.2129,Fringe / Bangs,Magenta,Lime,Brown,Peach,Porcelain,0694.png,25756711
623,823,Common,90.2026,Fringe / Bangs,Red,Turquoise,Brown,Ice Blue,Tan,0823.png,26778262
624,760,Common,90.1836,Long,Sky Blue,Pure White,Moss,Sage,Deep Brown,0760.png,26279365
625,1035,Common,90.178,Side Part,Yellow,X Black,Deep Purple,Sky,Deep Brown,1035.png,28457090
626,279,Common,90.1658,Spiky,Pine Green,Turquoise,Forest Green,Ice Blue,Light,0279.png,22470326
627,805,Common,90.1564,Spiky,Magenta,Royal Blue,Forest Green,Off White,Medium,0805.png,26635720
628,244,Common,90.1144,Buzz Cut,Chestnut,Bubblegum,Deep Purple,Sage,Fair,0244.png,22193161
629,507,Common,90.0834,Long,Violet,Crimson,Cocoa,Butter,Olive,0507.png,24275858
630,276,Common,90.0341,Fringe / Bangs,Charcoal,Amethyst,Black,Off White,Olive,0276.png,22446569
631,733,Common,90.0307,Long,Green,Aqua,Light Grey,Sage,Brown,0733.png,26065552
632,407,Common,90.0103,Fringe / Bangs,Blond,Raspberry,Light Grey,Mint,Fair,0407.png,23483958
633,450,Common,90.0076,Spiky,Charcoal,Cyan,Teal,White,Brown,0450.png,23824475
634,296,Common,90.0073,Buzz Cut,Charcoal,Hot Pink,Light Grey,Butter,Porcelain,0296.png,22604949
635,554,Common,89.9937,Side Part,Auburn,Turquoise,Espresso,Peach,Olive,0554.png,24648051
636,885,Common,89.9721,Long,White,Ice Blue,Denim Blue,Sage,Deep Brown,0885.png,27269240
637,794,Common,89.9646,Side Part,Yellow,Pure White,Bronze,Sage,Brown,0794.png,26548611
638,235,Common,89.9623,Side Part,Green,Raspberry,Moss,Off White,Porcelain,0235.png,22121890
639,397,Common,89.9544,Side Part,Auburn,Raspberry,Maroon,White,Medium,0397.png,23404768
640,883,Common,89.9529,Spiky,Pink,Amethyst,Brown,White,Deep Brown,0883.png,27253402
641,817,Common,89.9485,Side Part,White,Cyan,Denim Blue,Lavender,Porcelain,0817.png,26730748
642,547,Common,89.9434,Side Part,Dark Brown,Royal Blue,Navy,Ivory,Tan,0547.png,24592618
643,158,Common,89.9394,Buzz Cut,Yellow,Bubblegum,Cocoa,Peach,Fair,0158.png,21512127
644,525,Common,89.9315,Buzz Cut,Coral,Turquoise,Maroon,Ivory,Light,0525.png,24418400
645,540,Common,89.9226,Side Part,Sky Blue,X Black,Espresso,Butter,Olive,0540.png,24537185
646,1039,Common,89.9155,Spiky,Orange,Royal Blue,Plum,White,Fair,1039.png,28488766
647,443,Common,89.8948,Classic Cut,Pine Green,Aqua,Espresso,Lavender,Brown,0443.png,23769042
648,738,Common,89.8907,Spiky,Sky Blue,X Black,Steel Grey,Sky,Fair,0738.png,26105147
649,371,Common,89.8861,Long,Coral,Cyan,Steel Grey,Cream,Olive,0371.png,23198874
650,146,Common,89.8853,Spiky,Auburn,Cyan,Midnight Navy,Mint,Porcelain,0146.png,21417099
651,357,Common,89.8391,Long,Red,Periwinkle,Steel Grey,Peach,Deep Brown,0357.png,23088008
652,1066,Common,89.8362,Long,Coral,Amethyst,Bronze,Pale Blue,Deep Brown,1066.png,28702579
653,576,Common,89.7704,Long,Yellow,Turquoise,Deep Purple,Cream,Light,0576.png,24822269
654,405,Common,89.758,Fringe / Bangs,Auburn,Aqua,Gold,Mint,Medium,0405.png,23468120
655,731,Common,89.7461,Buzz Cut,Pink,Periwinkle,Plum,Cream,Brown,0731.png,26049714
656,693,Common,89.7384,Buzz Cut,Magenta,Raspberry,Navy,Sky,Medium,0693.png,25748792
657,855,Common,89.7152,Classic Cut,Violet,Periwinkle,Slate Grey,Pale Blue,Tan,0855.png,27031670
658,69,Common,89.7089,Long,Sandy,Tangerine,Black,Sky,Tan,0069.png,20807336
659,1012,Common,89.6583,Long,White,Raspberry,Cocoa,Cream,Deep Brown,1012.png,28274953
660,979,Common,89.6325,Classic Cut,Magenta,X Blue,Plum,Off White,Light,0979.png,28013626
661,267,Common,89.5784,Spiky,Jet Black,Lime,Steel Grey,Blush,Light,0267.png,22375298
662,696,Common,89.5753,Fringe / Bangs,Yellow,Hot Pink,Midnight Navy,Sky,Tan,0696.png,25772549
663,753,Common,89.566,Classic Cut,Sandy,Periwinkle,Teal,Pale Blue,Fair,0753.png,26223932
664,197,Common,89.5348,Classic Cut,Magenta,Turquoise,Cocoa,Pale Blue,Deep Brown,0197.png,21820968
665,377,Common,89.5303,Classic Cut,Yellow,Ice Blue,Gold,Ice Blue,Fair,0377.png,23246388
666,320,Common,89.5011,Fringe / Bangs,Blond,Gold,Deep Purple,Lavender,Fair,0320.png,22795005
667,1010,Common,89.4947,Spiky,Red,Hot Pink,Espresso,Peach,Tan,1010.png,28259115
668,837,Common,89.4925,Fringe / Bangs,Blue,Periwinkle,Cocoa,Butter,Olive,0837.png,26889128
669,640,Common,89.4923,Classic Cut,Purple,Lime,Midnight Navy,Lavender,Olive,0640.png,25329085
670,902,Common,89.4864,Fringe / Bangs,Sky Blue,Amethyst,Steel Grey,Peach,Tan,0902.png,27403863
671,526,Common,89.4845,Long,Purple,Gold,Gold,Sage,Deep Brown,0526.png,24426319
672,457,Common,89.4593,Long,Blond,Aqua,Navy,White,Medium,0457.png,23879908
673,228,Common,89.4436,Long,Blond,Gold,Espresso,Rose,Brown,0228.png,22066457
674,1105,Common,89.4312,Long,Sandy,Ice Blue,Slate Grey,Mint,Light,1105.png,29011420
675,206,Common,89.4202,Buzz Cut,Pink,Aqua,Moss,Off White,Medium,0206.png,21892239
676,337,Common,89.4116,Classic Cut,Yellow,Emerald,Slate Grey,Sky,Porcelain,0337.png,22929628
677,8,Common,89.4097,Fringe / Bangs,Auburn,Hot Pink,Brown,Peach,Tan,0008.png,20324277
678,413,Common,89.4014,Long,Teal,Raspberry,Forest Green,Sky,Brown,0413.png,23531472
679,32,Common,89.3972,Buzz Cut,Sandy,Periwinkle,Maroon,Rose,Tan,0032.png,20514333
680,356,Common,89.3885,Fringe / Bangs,Green,Ice Blue,Teal,Sage,Tan,0356.png,23080089
681,884,Common,89.3884,Buzz Cut,Teal,Ice Blue,Denim Blue,Rose,Medium,0884.png,27261321
682,208,Common,89.3649,Long,Charcoal,Raspberry,Deep Purple,Sage,Deep Brown,0208.png,21908077
683,763,Common,89.3611,Long,Teal,Raspberry,Steel Grey,Mint,Tan,0763.png,26303122
684,679,Common,89.3577,Long,Red,X Blue,Midnight Navy,Blush,Tan,0679.png,25637926
685,511,Common,89.3463,Fringe / Bangs,White,Ice Blue,Navy,Ivory,Medium,0511.png,24307534
686,1050,Common,89.3458,Long,Orange,X Blue,Deep Purple,Sky,Porcelain,1050.png,28575875
687,253,Common,89.3322,Long,Pink,Raspberry,Light Grey,Peach,Medium,0253.png,22264432
688,1044,Common,89.3288,Fringe / Bangs,Teal,Turquoise,Light Grey,Butter,Brown,1044.png,28528361
689,165,Common,89.3225,Long,Pink,X Blue,Deep Purple,Peach,Medium,0165.png,21567560
690,475,Common,89.3158,Fringe / Bangs,Coral,Periwinkle,Slate Grey,Rose,Medium,0475.png,24022450
691,712,Common,89.3079,Classic Cut,Magenta,X Blue,Espresso,Off White,Light,0712.png,25899253
692,569,Common,89.306,Side Part,Green,Raspberry,Steel Grey,Ivory,Medium,0569.png,24766836
693,903,Common,89.282,Fringe / Bangs,Purple,Hot Pink,Light Grey,Butter,Light,0903.png,27411782
694,136,Common,89.2751,Long,Yellow,Hot Pink,Slate Grey,Lavender,Medium,0136.png,21337909
695,4,Common,89.2423,Spiky,Violet,Amethyst,Moss,Ice Blue,Light,0004.png,20292601
696,29,Common,89.2359,Fringe / Bangs,Blond,Gold,Navy,Ice Blue,Olive,0029.png,20490576
697,343,Common,89.2311,Long,Red,Lime,Midnight Navy,Peach,Medium,0343.png,22977142
698,459,Common,89.2251,Classic Cut,Dark Brown,Lime,Brown,Ivory,Olive,0459.png,23895746
699,182,Common,89.2163,Classic Cut,Orange,Bubblegum,Cocoa,Sage,Fair,0182.png,21702183
700,486,Common,89.2156,Spiky,White,Royal Blue,Black,Ice Blue,Light,0486.png,24109559
701,303,Common,89.2075,Spiky,Coral,Aqua,Steel Grey,Sage,Porcelain,0303.png,22660382
702,992,Common,89.1871,Long,Auburn,Tangerine,Cocoa,Sand,Porcelain,0992.png,28116573
703,108,Common,89.175,Spiky,White,X Blue,Black,Sky,Porcelain,0108.png,21116177
704,292,Common,89.1388,Long,Brown,Lime,Navy,Sage,Light,0292.png,22573273
705,588,Common,89.1197,Classic Cut,Violet,Periwinkle,Midnight Navy,Butter,Porcelain,0588.png,24917297
706,1092,Common,89.0948,Fringe / Bangs,Charcoal,Cyan,Light Grey,Lavender,Light,1092.png,28908473
707,471,Common,89.0905,Long,Yellow,Pure White,Cocoa,Sand,Light,0471.png,23990774
708,749,Common,89.0835,Fringe / Bangs,Purple,Gold,Teal,Ivory,Deep Brown,0749.png,26192256
709,392,Common,89.0812,Side Part,Teal,Aqua,Deep Purple,Blush,Light,0392.png,23365173
710,239,Common,89.0781,Long,Sandy,Amethyst,Forest Green,Butter,Porcelain,0239.png,22153566
711,690,Common,89.0773,Classic Cut,Pine Green,Turquoise,Teal,Mint,Medium,0690.png,25725035
712,1031,Common,89.0762,Classic Cut,Pink,Periwinkle,Brown,Sand,Porcelain,1031.png,28425414
713,467,Common,89.0761,Long,Violet,Cyan,Slate Grey,Sand,Deep Brown,0467.png,23959098
714,277,Common,89.0599,Fringe / Bangs,Red,Ice Blue,Espresso,Butter,Olive,0277.png,22454488
715,504,Common,89.0505,Long,Dark Brown,Lime,Gold,Off White,Deep Brown,0504.png,24252101
716,200,Common,89.0386,Buzz Cut,Blond,Emerald,Gold,Ivory,Porcelain,0200.png,21844725
717,444,Common,89.0322,Long,Pink,Ice Blue,Deep Purple,Peach,Tan,0444.png,23776961
718,996,Common,89.0267,Side Part,Sandy,Emerald,Espresso,Ice Blue,Fair,0996.png,28148249
719,73,Common,88.963,Side Part,Magenta,X Blue,Cocoa,Peach,Deep Brown,0073.png,20839012
720,149,Common,88.9479,Buzz Cut,Sandy,Ice Blue,Navy,Peach,Medium,0149.png,21440856
721,947,Common,88.9248,Buzz Cut,Blue,Emerald,Cocoa,Ivory,Deep Brown,0947.png,27760218
722,423,Common,88.9132,Classic Cut,Pink,X Black,Denim Blue,Off White,Deep Brown,0423.png,23610662
723,762,Common,88.8976,Fringe / Bangs,Red,X Blue,Steel Grey,Lavender,Olive,0762.png,26295203
724,907,Common,88.8878,Long,Charcoal,X Blue,Light Grey,Sky,Light,0907.png,27443458
725,807,Common,88.8829,Side Part,Red,X Black,Black,Blush,Fair,0807.png,26651558
726,1085,Common,88.8765,Side Part,Purple,X Blue,Black,Rose,Light,1085.png,28853040
727,1037,Common,88.8694,Classic Cut,Pine Green,Periwinkle,Maroon,Sage,Light,1037.png,28472928
728,513,Common,88.8683,Buzz Cut,Chestnut,Hot Pink,Denim Blue,Peach,Fair,0513.png,24323372
729,211,Common,88.857,Side Part,Green,Amethyst,Black,Off White,Brown,0211.png,21931834
730,726,Common,88.8445,Long,Yellow,Turquoise,Black,Cream,Medium,0726.png,26010119
731,580,Common,88.8113,Spiky,Charcoal,Raspberry,Navy,Ivory,Olive,0580.png,24853945
732,1065,Common,88.8074,Classic Cut,Sandy,X Black,Gold,Ivory,Medium,1065.png,28694660
733,758,Common,88.7789,Long,Pine Green,Aqua,Deep Purple,Rose,Tan,0758.png,26263527
734,663,Common,88.759,Classic Cut,Teal,Periwinkle,Forest Green,Rose,Porcelain,0663.png,25511222
735,532,Common,88.758,Classic Cut,Sandy,Amethyst,Black,Pale Blue,Light,0532.png,24473833
736,229,Common,88.7426,Long,Coral,Ice Blue,Teal,Butter,Brown,0229.png,22074376
737,364,Common,88.702,Classic Cut,Red,Periwinkle,Gold,Sand,Medium,0364.png,23143441
738,382,Common,88.6963,Buzz Cut,Pine Green,Emerald,Steel Grey,Sage,Fair,0382.png,23285983
739,166,Common,88.6842,Classic Cut,Orange,Royal Blue,Light Grey,Rose,Porcelain,0166.png,21575479
740,790,Common,88.6835,Classic Cut,Yellow,Turquoise,Bronze,Pale Blue,Brown,0790.png,26516935
741,1004,Common,88.6748,Buzz Cut,Red,Royal Blue,Moss,Sand,Porcelain,1004.png,28211601
742,816,Common,88.6729,Long,Yellow,Cyan,Slate Grey,Lavender,Brown,0816.png,26722829
743,928,Common,88.6711,Classic Cut,Purple,Emerald,Light Grey,Sky,Tan,0928.png,27609757
744,906,Common,88.6404,Side Part,Magenta,X Blue,Navy,Blush,Deep Brown,0906.png,27435539
745,950,Common,88.6295,Fringe / Bangs,Chestnut,Periwinkle,Maroon,Sky,Tan,0950.png,27783975
746,89,Common,88.59,Classic Cut,Chestnut,Hot Pink,Midnight Navy,Sage,Light,0089.png,20965716
747,734,Common,88.5732,Long,Sandy,Emerald,Moss,Lavender,Fair,0734.png,26073471
748,638,Common,88.5627,Buzz Cut,Pine Green,Cyan,Espresso,Sand,Medium,0638.png,25313247
749,577,Common,88.5202,Side Part,Green,Royal Blue,Plum,Sky,Deep Brown,0577.png,24830188
750,336,Common,88.491,Classic Cut,White,Turquoise,Cocoa,Sand,Brown,0336.png,22921709
751,828,Common,88.4822,Classic Cut,Pink,X Black,Black,Mint,Tan,0828.png,26817857
752,943,Common,88.4791,Side Part,Blond,Cyan,Deep Purple,Mint,Deep Brown,0943.png,27728542
753,122,Common,88.4694,Buzz Cut,Pine Green,X Black,Bronze,Sky,Light,0122.png,21227043
754,1087,Common,88.4668,Classic Cut,Charcoal,Periwinkle,Deep Purple,Off White,Fair,1087.png,28868878
755,521,Common,88.459,Classic Cut,Auburn,Cyan,Teal,Pale Blue,Porcelain,0521.png,24386724
756,978,Common,88.4516,Fringe / Bangs,Teal,Ice Blue,Steel Grey,Ivory,Deep Brown,0978.png,28005707
757,258,Common,88.4253,Fringe / Bangs,Orange,Ice Blue,Bronze,Sage,Brown,0258.png,22304027
758,434,Common,88.3904,Side Part,Green,Raspberry,Light Grey,Off White,Porcelain,0434.png,23697771
759,841,Common,88.3903,Classic Cut,Pink,Cyan,Plum,Sand,Fair,0841.png,26920804
760,172,Common,88.371,Side Part,Coral,Gold,Teal,Butter,Medium,0172.png,21622993
761,61,Common,88.3303,Spiky,Pine Green,X Black,Bronze,Blush,Medium,0061.png,20743984
762,586,Common,88.3218,Long,Orange,Hot Pink,Espresso,Ivory,Brown,0586.png,24901459
763,549,Common,88.2954,Long,Blond,Raspberry,Bronze,Butter,Fair,0549.png,24608456
764,518,Common,88.2853,Classic Cut,Red,Gold,Plum,Sand,Tan,0518.png,24362967
765,926,Common,88.2844,Classic Cut,Magenta,Aqua,Cocoa,Rose,Brown,0926.png,27593919
766,1107,Common,88.2709,Classic Cut,Coral,X Blue,Deep Purple,Peach,Tan,1107.png,29027258
767,55,Common,88.2616,Classic Cut,Pink,Gold,Denim Blue,Pale Blue,Tan,0055.png,20696470
768,155,Common,88.2489,Classic Cut,Pine Green,Gold,Forest Green,Lavender,Brown,0155.png,21488370
769,858,Common,88.2345,Buzz Cut,Auburn,X Black,Espresso,Ivory,Deep Brown,0858.png,27055427
770,1002,Common,88.2337,Fringe / Bangs,Red,Gold,Steel Grey,Butter,Light,1002.png,28195763
771,736,Common,88.2057,Side Part,Coral,Emerald,Navy,Sand,Tan,0736.png,26089309
772,872,Common,88.1991,Side Part,Sandy,X Blue,Slate Grey,Sage,Olive,0872.png,27166293
773,955,Common,88.1956,Side Part,Blond,Ice Blue,Navy,White,Medium,0955.png,27823570
774,652,Common,88.1952,Spiky,Purple,Hot Pink,Teal,Ivory,Tan,0652.png,25424113
775,330,Common,88.1846,Long,Charcoal,Periwinkle,Navy,Rose,Tan,0330.png,22874195
776,245,Common,88.1568,Side Part,Coral,Emerald,Denim Blue,Mint,Olive,0245.png,22201080
777,470,Common,88.1332,Buzz Cut,Teal,Hot Pink,Denim Blue,Butter,Deep Brown,0470.png,23982855
778,930,Common,88.1199,Long,Sky Blue,X Black,Denim Blue,Mint,Porcelain,0930.png,27625595
779,766,Common,88.0909,Spiky,Pink,Amethyst,Plum,Ivory,Fair,0766.png,26326879
780,168,Common,88.0872,Side Part,Auburn,X Black,Navy,Off White,Brown,0168.png,21591317
781,216,Common,88.0746,Classic Cut,Sky Blue,Gold,Steel Grey,Peach,Olive,0216.png,21971429
782,719,Common,88.066,Classic Cut,Yellow,Periwinkle,Midnight Navy,Ivory,Deep Brown,0719.png,25954686
783,915,Common,88.001,Fringe / Bangs,Coral,Cyan,Navy,Peach,Medium,0915.png,27506810
784,496,Common,87.9956,Long,Dark Brown,Lime,Espresso,Off White,Light,0496.png,24188749
785,1042,Common,87.9813,Classic Cut,Yellow,X Blue,Teal,Mint,Brown,1042.png,28512523
786,188,Common,87.9753,Buzz Cut,Auburn,Gold,Moss,Ice Blue,Fair,0188.png,21749697
787,180,Common,87.9234,Spiky,Sandy,Emerald,Gold,Sky,Olive,0180.png,21686345
788,275,Common,87.9223,Classic Cut,Pink,Aqua,Denim Blue,Butter,Tan,0275.png,22438650
789,791,Common,87.8989,Spiky,Coral,X Blue,Steel Grey,Butter,Tan,0791.png,26524854
790,266,Common,87.8791,Side Part,Red,Cyan,Moss,Lavender,Olive,0266.png,22367379
791,219,Common,87.8783,Spiky,Dark Brown,Lime,Teal,Ivory,Tan,0219.png,21995186
792,968,Common,87.8684,Classic Cut,Coral,Ice Blue,Plum,Butter,Light,0968.png,27926517
793,403,Common,87.8429,Buzz Cut,Purple,Emerald,Black,Ivory,Olive,0403.png,23452282
794,665,Common,87.8263,Buzz Cut,Chestnut,Ice Blue,Espresso,Butter,Porcelain,0665.png,25527060
795,416,Common,87.8212,Long,Sky Blue,Hot Pink,Slate Grey,Ice Blue,Olive,0416.png,23555229
796,852,Common,87.8091,Spiky,Pine Green,Emerald,Bronze,Ice Blue,Olive,0852.png,27007913
797,432,Common,87.8061,Buzz Cut,Yellow,Raspberry,Steel Grey,Off White,Fair,0432.png,23681933
798,234,Common,87.7786,Buzz Cut,Coral,Hot Pink,Gold,Lavender,Medium,0234.png,22113971
